GDP,Implied PPP Conversion Rate,Inflation,Import Volume,Export Volume,Population,Government Revenue,General Government Revenue,Currect Account Balance,Currect Account Balance
2538.896,139.927,181.106,12.175,-11.54,3,479.444,18.05,-0.153,-2.395
2887.974,142.012,193.211,35.665,11.472,2.99,632.547,20.085,-0.677,-7.357
3088.621,147.62,203.466,17.084,-6.782,2.98,730.753,20.479,-1.659,-14.225
2651.584,150.43,217.133,-16.528,-9.726,2.97,655.569,20.867,-1.426,-16.484
2709.916,160.191,235.552,4.899,15.285,2.966,734.293,21.221,-1.261,-13.622
2837.273,163.65,246.51,-1.861,10.451,2.968,834.53,22.09,-1.059,-10.44
3039.694,157.964,254.464,5.022,12.041,2.97,892.603,20.921,-1.058,-9.962
3143.407,159.846,268.603,9.9,12.98,2.98,1011.525,22.204,-0.812,-7.297
3256.776,165.186,280.899,2.653,9.79,2.985,1064.617,22.048,-0.9,-7.75
3362.748,172.924,280.536,-10.114,8.99,2.99,1084.076,21.494,-0.283,-2.685
3369.306,161.229,277.514,6.205,18.109,2.993,1085.186,21.416,-0.107,-1.013
3622.609,155.971,284.763,22.279,13.388,2.979,1181.989,21.242,-0.175,-1.521
3811.884,156.541,289.873,13.275,9.488,2.969,1341.689,22.298,-0.876,-7.03
4102.782,155.384,291.961,13.447,16.921,2.963,1565.489,23.925,-1.002,-7.359
3801.086,156.56,303.029,-30.997,-35.629,2.962,1560.655,25.247,-0.479,-3.787
3.96,1.169,76.852,,,0.086,0.628,22.888,,
4.039,1.232,78.005,,,0.088,0.646,21.688,,
4.095,1.24,80.891,,,0.09,0.706,22.884,-0.435,-25.271
4.409,1.224,83.722,,,0.091,0.746,22.251,0.214,11.411
4.594,1.163,85.838,,,0.091,0.736,21.673,0.307,16.177
4.55,1.196,89.402,,,0.092,0.755,21.491,-0.339,-17.296
4.601,1.209,91.446,,,0.093,0.989,27.032,-0.168,-8.195
4.936,1.21,93.994,,,0.095,0.836,20.714,0.274,12.15
4.917,1.233,97.551,,,0.098,0.909,21.52,0.116,4.901
4.973,1.238,100,,,0.099,0.985,22.285,0.314,12.699
5.127,1.267,109.919,,,0.1,1.034,21.574,0.26,9.711
5.221,1.297,107.876,,,0.101,1.365,26.825,--,-0.016
4.611,1.31,115.187,,,0.102,1.109,24.257,0.177,6.935
4.485,1.279,114.356,,,0.102,1.184,26.957,-0.46,-18.737
4.636,1.303,121.356,,,0.103,0.981,20.77,-0.264,-10.021
4.588,1.318,116.847,,,0.105,1.021,21.806,0.094,3.599
4.883,1.285,116.941,,,0.106,1.143,23.406,-0.326,-11.957
4.882,1.309,119.515,,,0.108,1.118,22.376,-0.134,-4.795
5.055,1.362,118.408,,,0.109,1.267,23.898,0.115,3.882
5.162,1.355,117.365,,,0.11,1.264,23.664,0.136,4.557
5.445,1.351,116.822,,,0.111,1.216,21.971,0.03,0.959
5.514,1.349,122.027,,,0.111,1.297,22.632,-0.017,-0.542
5.399,1.399,126.393,,,0.112,1.42,23.961,0.083,2.507
4.194,1.342,122.518,,,0.111,1.071,23.969,-0.326,-13.056
1025.263,1.219,66.9,10.838,11.96,18.51,185.241,32.39,-12.44,-2.923
1073.547,1.217,67.9,7.294,0.22,18.706,208.486,34.476,-18.705,-4.914
1121.394,1.211,69.1,8.365,4.725,18.919,235.466,36.966,-22.542,-5.484
1155.307,1.236,73.1,8,11.59,19.141,250.661,36.571,-16.37,-4.102
1185.5,1.251,75.4,-5.04,3.024,19.386,259.965,35.72,-8.486,-2.253
1234.538,1.268,77.7,11.031,0.782,19.605,274.664,35.197,-16.186,-3.814
1268.86,1.284,79.6,11.354,-1.114,19.827,298.528,36.065,-28.891,-5.354
1321.173,1.293,81.7,15.205,3.703,20.046,323.386,36.27,-41.51,-6.321
1361.163,1.312,83.9,9.451,3.38,20.312,349.845,36.404,-43.661,-5.948
1397.991,1.337,86.7,8.567,3.407,20.628,377.594,36.409,-45.858,-5.869
1459.877,1.359,89.3,13.08,3.406,21.016,405.376,35.862,-63.679,-6.718
1498.836,1.418,92.6,10.609,4.399,21.476,419.753,34.012,-50.009,-4.738
1526.977,1.415,94.5,-8.11,1.988,21.866,419.791,33.254,-46.574,-4.662
1563.031,1.473,97,15.506,5.717,22.172,434.374,31.905,-45.728,-3.653
1607.523,1.511,99.9,11.012,-0.143,22.522,466.635,31.821,-46.581,-3.077
1668.538,1.54,102,5.543,5.414,22.928,500.983,33.067,-67.414,-4.296
1704.137,1.447,104.8,-2.009,5.826,23.298,528.104,33.682,-51.367,-3.383
1747.964,1.452,106.5,-1.37,6.943,23.64,547.558,33.916,-44.736,-3.07
1788.606,1.474,108.3,1.958,6.534,23.985,566.897,34.551,-57.019,-4.618
1837.418,1.45,109.8,0.143,6.9,24.39,593.664,34.878,-41.49,-3.277
1881.86,1.466,112.1,7.913,3.45,24.773,633.422,35.063,-35.778,-2.583
1935.451,1.464,114,3.979,5.105,25.171,676.76,35.626,-29.738,-2.092
1972.448,1.487,116.1,-0.9,3.358,25.558,690.743,34.5,9.854,0.708
1926.075,1.48,117.1,-13.395,-10.132,25.694,710.002,36.061,36.211,2.664
252.941,0.887,88.064,7.27,11.028,7.968,94.181,49.904,-5.424,-2.546
262,0.881,88.438,5.758,7.852,7.977,100.893,51.385,-4.048,-1.852
271.318,0.871,89.911,4.064,6.434,7.992,97.21,47.687,-4.917,-2.261
280.477,0.864,91.564,10.186,13.525,8.012,103.793,48.591,-1.393,-0.706
284.031,0.861,93.23,5.192,5.771,8.042,111.803,50.699,-1.573,-0.796
288.722,0.857,94.811,0.291,4.286,8.082,114.651,50.566,4.504,2.102
291.44,0.852,96.09,3.507,0.531,8.118,112.556,48.544,4.06,1.548
299.411,0.844,98.491,7.975,8.661,8.169,118.424,48.865,6.255,2.076
306.13,0.839,100,5.455,6.665,8.225,123.515,48.613,7.143,2.258
316.704,0.829,101.629,5.855,7.576,8.268,128.059,47.815,11.08,3.295
328.509,0.826,105.141,5.635,7.572,8.295,135.91,47.859,14.8,3.802
333.307,0.826,106.71,0.954,2.171,8.322,142.033,48.35,19.397,4.49
320.759,0.836,107.832,-11.899,-14.368,8.341,140.523,48.785,10.42,2.596
326.651,0.833,110.174,11.97,13.131,8.361,143.161,48.382,11.207,2.855
336.199,0.831,113.818,5.954,5.935,8.389,149.838,48.315,7.038,1.631
338.486,0.814,117.017,0.924,1.438,8.426,156.216,49.024,6.074,1.483
338.573,0.797,119.189,0.694,0.641,8.477,160.976,49.698,8.359,1.943
340.812,0.799,120.022,2.957,2.888,8.544,165.226,49.596,10.952,2.474
344.269,0.799,121.192,3.63,3.049,8.63,172.069,49.981,6.591,1.725
351.118,0.777,123.051,3.726,2.988,8.74,173.571,48.537,10.78,2.724
359.544,0.77,125.851,5.349,4.898,8.815,179.077,48.485,5.732,1.374
368.82,0.765,127.975,5.03,5.549,8.885,188.506,48.917,5.726,1.258
374.053,0.765,130.28,2.448,2.943,8.859,195.483,49.169,12.653,2.842
350.94,0.768,131.595,-9.224,-11.006,8.901,184.166,48.595,10.81,2.499
5.56,0.145,86.126,60.407,29.246,7.8,0.605,19.159,-0.916,-23.11
5.894,0.142,79.586,-1.957,24.524,7.877,0.674,20.353,-1.364,-31.883
6.566,0.144,79.215,-43.913,-4.935,7.953,0.697,18.472,-0.6,-13.09
6.974,0.165,80.959,6.301,5.525,8.033,0.867,18.384,-0.187,-3.539
7.427,0.171,82.4,8.221,32.284,8.114,2.049,38.549,-0.052,-0.945
8.128,0.175,85,34.034,9.674,8.191,2.578,42.532,-0.768,-12.329
8.957,0.184,88,24.584,-0.749,8.269,1.663,23.267,-2.021,-27.772
9.786,0.196,97.2,-3.96,7.894,8.349,2.218,25.997,-2.589,-29.824
12.523,0.218,102.4,-1.426,42.267,8.447,3.161,25.239,0.167,1.261
16.839,0.235,114,23.09,39.966,8.553,4.867,25.962,3.708,17.632
21.127,0.276,136.3,7.035,45.806,8.666,8.056,28.405,9.019,27.256
23.364,0.347,157.4,2.234,6.477,8.78,19.52,48.633,16.454,33.593
25.553,0.279,158.5,-5.681,7.971,8.922,14.37,40.363,10.173,22.969
26.777,0.314,171.1,-8.932,-1.86,8.998,19.444,45.789,15.04,28.423
26.356,0.384,180.7,31.49,0.216,9.111,23.226,44.594,17.146,25.983
26.936,0.369,180.2,12.948,-1.114,9.235,22.085,40.342,14.916,21.405
28.51,0.359,186.9,14.185,-1.767,9.357,22.937,39.423,12.318,16.61
29.308,0.355,186.7,7.307,-2.288,9.477,23.084,39.117,10.431,13.863
29.616,0.377,199.669,11.798,9.968,9.593,18.416,33.866,-0.222,-0.438
28.708,0.431,230.688,17.444,2.603,9.706,20.699,34.255,-1.363,-3.604
28.752,0.505,248.986,-2.305,-7.326,9.81,24.076,34.229,1.685,4.071
29.184,0.554,252.966,-2.402,1.208,9.898,30.925,38.612,6.051,12.844
29.907,0.543,259.082,-0.979,2.388,9.982,33.92,41.418,4.365,9.061
28.624,0.496,266.129,-10.163,-8.564,10.067,24.479,33.796,-0.228,-0.534
8.244,0.94,72.377,25.918,1.667,0.288,0.693,11.277,-0.339,-5.358
8.633,0.958,73.443,25.407,1.162,0.293,0.765,11.615,-0.689,-10.086
9.25,0.992,74.579,-10.413,17.743,0.298,0.804,11.082,0.104,1.358
9.634,0.979,75.396,5.396,10.418,0.303,0.919,11.664,-0.122,-1.515
9.887,0.961,77.321,-1.005,-12.932,0.307,0.958,11.69,-0.319,-3.835
10.154,0.983,78.784,-2.633,9.897,0.312,0.857,9.971,0.007,0.084
10.026,0.975,81.225,-3.068,-3.563,0.316,0.902,10.157,-0.015,-0.173
10.114,0.961,82.568,0.695,7.138,0.321,0.944,10.538,0.145,1.606
10.458,0.979,83.563,7.985,9.131,0.325,1.105,11.696,-0.305,-3.098
10.721,0.958,85.596,15.741,0.816,0.329,1.28,12.803,-1.031,-10.141
10.876,0.96,87.904,0.057,5.879,0.333,1.336,12.856,-0.954,-8.987
10.623,0.956,91.585,-8.471,-3.745,0.337,1.429,13.514,-0.872,-8.282
10.18,0.94,93.09,-12.541,-21.123,0.341,1.316,12.839,-0.808,-8.095
10.336,0.925,94.644,-4.78,3.208,0.345,1.291,12.862,-0.796,-7.884
10.4,0.899,97.523,3.819,0.211,0.348,1.432,14.203,-1.101,-10.935
10.721,0.915,98.162,16.178,8.269,0.352,1.426,13.719,-1.532,-14.289
10.336,0.903,99.1,0.401,-0.883,0.356,1.353,12.754,-1.516,-14.447
10.573,0.904,99.3,10.495,-2.734,0.36,1.449,13.397,-2.193,-19.677
10.741,0.936,101.31,-5.399,-5.097,0.364,1.698,14.741,-1.61,-13.543
10.751,0.924,102.29,4.936,4.44,0.368,1.928,16.084,-1.059,-8.833
10.925,0.901,103.94,6.019,5.157,0.372,2.06,16.772,-1.575,-12.741
11.228,0.89,105.98,-2.362,23.54,0.377,2.042,16.218,-1.115,-8.685
11.307,0.89,107.5,-2.78,5.759,0.381,2.426,18.374,0.526,3.993
9.666,0.774,108.75,-26.372,-67.748,0.385,2.087,18.466,-1.792,-18.086
4.824,0.123,71.646,-13.046,-1.51,0.589,0.706,25.647,-0.031,-0.424
5.058,0.11,71.046,-11.42,-6.366,0.605,0.554,21.064,-0.778,-11.128
5.36,0.111,70.338,0.554,16.121,0.621,0.66,23.164,-0.022,-0.295
5.736,0.122,69.669,10.636,19.083,0.638,1.047,30.734,0.846,9.336
5.879,0.118,69.085,-6.386,-3.691,0.661,0.981,28.393,0.226,2.46
6.076,0.117,69.492,11.294,--,0.711,1.027,28.468,-0.056,-0.579
6.459,0.125,70.859,1.843,5.012,0.765,1.146,27.509,0.197,1.775
6.91,0.135,72.584,14.587,13.377,0.824,1.301,26.302,0.474,3.608
7.377,0.149,74.272,11.34,13.413,0.889,1.671,27.837,1.476,9.245
7.854,0.157,75.072,0.549,7.284,0.96,1.841,26.453,2.189,11.828
8.506,0.166,78.076,-5.177,2.408,1.039,2.038,24.937,2.908,13.381
9.037,0.181,82.075,19.231,5.247,1.107,2.698,27.903,2.257,8.778
9.266,0.157,83.35,-25.128,-12.81,1.178,1.729,20.052,0.56,2.442
9.668,0.166,84.17,5.06,2.083,1.235,2.196,22.713,0.771,3
9.86,0.179,84.33,-2.142,9.226,1.195,2.842,26.265,2.524,8.77
10.228,0.176,86.53,27.701,20.804,1.209,3.046,26.348,2.578,8.384
10.782,0.181,89.95,3.098,-0.664,1.253,2.977,24.33,2.41,7.406
11.251,0.184,92.19,-7.387,-4.068,1.315,3.133,24.96,1.523,4.562
11.53,0.187,92.9,-5.669,-0.845,1.37,2.126,18.21,-0.752,-2.422
11.941,0.19,95.04,-3.153,-2.757,1.424,2.127,17.552,-1.493,-4.631
12.453,0.187,96.32,7.602,3.69,1.501,2.421,18.151,-1.45,-4.088
12.667,0.191,98.23,5.724,3.262,1.503,3.094,21.852,-2.435,-6.466
12.991,0.187,99.4,-5.568,0.381,1.484,3.447,23.832,-0.794,-2.065
12.33,0.175,97.8,2.185,3.982,1.472,2.267,17.364,-3.245,-9.343
2969.949,15.166,66.108,1.747,27.091,120.161,196.136,9.355,-0.831,-1.698
3125.135,15.738,72.331,12.405,14.396,122.683,207.251,8.924,-0.568,-1.11
3277.379,16.016,77.819,-4.754,6.722,125.19,215.802,8.466,-0.35,-0.659
3472.205,15.93,79.611,8.311,5.177,127.658,233.515,8.489,-0.337,-0.62
3655.326,15.954,81.219,16.271,13.357,130.089,254.436,8.649,-1.018,-1.868
3816.724,16.321,83.789,-8.919,-3.563,132.478,303.1,9.562,0.157,0.282
4017.331,16.708,88.138,9.283,5.527,134.792,341.915,9.804,0.176,0.293
4269.237,17.032,93.413,4.481,7.408,136.986,352.491,9.124,0.176,0.268
4523.493,17.362,99.303,12.13,11.119,139.036,402.341,9.355,-0.557,-0.802
4823.37,17.83,113.505,9.4,18.119,140.921,461.046,9.559,0.572,0.796
5163.83,18.609,124.602,11.673,11.53,142.66,511.274,9.299,0.957,1.201
5474.37,19.585,142.369,18.237,11.952,144.304,615.66,9.793,0.278,0.303
5750.56,20.817,145.881,8.29,10.32,145.925,666.9,9.459,2.086,2.035
6070.97,22.121,159.851,1.828,5.482,147.575,799.44,10.024,3.24,2.811
6463.42,23.41,177.647,41.218,28.995,149.274,949.019,10.362,-2.227,-1.731
6884.93,23.787,187.499,-0.65,3.576,151.008,1186.83,11.247,-0.447,-0.335
7298.96,24.966,202.591,4.249,13.38,152.765,1346.26,11.229,2.388,1.592
7741.36,25.819,216.703,11.652,12.303,154.52,1467.34,10.92,1.406,0.813
8248.62,27.284,230.254,6.964,5.838,156.256,1484.63,9.794,3.492,1.789
